Product ID,Product Name,Category,Confidence,Flag
1007,Helado Cabrera Frutilla 1.2 L,Alimentos y Bebidas No Alcohólicas,high,
1015,Helado Cabrera Granizado 1/2 ml,Alimentos y Bebidas No Alcohólicas,high,
1023,Helado Cabrera Vainilla 1.2 L,Alimentos y Bebidas No Alcohólicas,high,
1031,Helado Cabrera Chocolate 500 ml,Alimentos y Bebidas No Alcohólicas,high,
1040,Helado Cabrera Coco 1/2 Lt,Alimentos y Bebidas No Alcohólicas,high,
1058,Helado Cabrera Moka 1500 ml,Alimentos y Bebidas No Alcohólicas,high,
1074,Helado Cabrera Dulce de Leche 500 ml,Alimentos y Bebidas No Alcohólicas,high,
1082,Helado Cabrera Frutilla 1 L,Alimentos y Bebidas No Alcohólicas,high,
1090,Helado Cabrera Granizado 1 L,Alimentos y Bebidas No Alcohólicas,high,
1104,Helado Cabrera Vainilla 1 L,Alimentos y Bebidas No Alcohólicas,high,
1112,Helado Cabrera Chocolate 1 L,Alimentos y Bebidas No Alcohólicas,high,
1120,Helado Cabrera Coco 1 L,Alimentos y Bebidas No Alcohólicas,high,
1139,Helado Cabrera Moka 1 L,Alimentos y Bebidas No Alcohólicas,high,
1155,Helado Cabrera Dulce de Leche 1 L,Alimentos y Bebidas No Alcohólicas,high,
1163,Helado Cabrera Cassata 900 ml,Alimentos y Bebidas No Alcohólicas,high,
1198,Helado Cabrera Dolce Vita Surtido Caja 6 un,Alimentos y Bebidas No Alcohólicas,high,
1557,Pure de Manzana Campo Verde 920 gr,Alimentos y Bebidas No Alcohólicas,high,
1605,Agua Sante Sin Gas 1750 ml,Alimentos y Bebidas No Alcohólicas,high,
1606,Nuez Moscada Carmencita Molida 30 gr,Alimentos y Bebidas No Alcohólicas,high,
1610,Api Inpronut Morado 200 gr,Alimentos y Bebidas No Alcohólicas,high,
1614,Masticable Fruwi Frutal 375 gr,Alimentos y Bebidas No Alcohólicas,high,
1617,Baton Garoto Leche Frutilla 16 gr,Alimentos y Bebidas No Alcohólicas,high,
1618,Baton Garoto Creme Leite 16 gr,Alimentos y Bebidas No Alcohólicas,high,
1621,Harina Doñarepa Precocida Maiz Amarillo 1 kg,Alimentos y Bebidas No Alcohólicas,high,
1623,Harina Doñarepa Precocida Maiz Blanco 1 kg,Alimentos y Bebidas No Alcohólicas,high,
1624,Tripack Fideo Matarazzo Spaguetti 3 un 400 gr,Alimentos y Bebidas No Alcohólicas,high,
1625,Tripack Fideo Matarazzo Tallarin 3 un 400 gr,Alimentos y Bebidas No Alcohólicas,high,
1626,Sopa Instantanea Nissin Calabresa 85 gr,Alimentos y Bebidas No Alcohólicas,high,
1628,Sopa Instantanea Nissin Mexicano 85 gr,Alimentos y Bebidas No Alcohólicas,high,
1629,Energizante Monster Zero 473 ml,Alimentos y Bebidas No Alcohólicas,high,
1642,Mix Fruta Deshidratada Nutrifruit 40 gr,Alimentos y Bebidas No Alcohólicas,high,
1644,Cafe Bolivia Especial Fruit Tostado Grano 1 kg,Alimentos y Bebidas No Alcohólicas,high,
1655,Galleta Isabela Tortita Chocolate 140 gr,Alimentos y Bebidas No Alcohólicas,high,
1656,Galleta Mousse Frutilla Chocolate 140 gr,Alimentos y Bebidas No Alcohólicas,high,
1657,Galleta Isabela Mousse Chocoleche 140 gr,Alimentos y Bebidas No Alcohólicas,high,
1659,Galleta Mana Vainilla Frutilla 152 gr,Alimentos y Bebidas No Alcohólicas,high,
1661,Galleta Mana Chocolate Vainilla 152 gr,Alimentos y Bebidas No Alcohólicas,high,
1668,Caramelo Sonetto Premium Mix 440 gr,Alimentos y Bebidas No Alcohólicas,high,
1672,Papa La Exquisita Rallada 150 gr,Alimentos y Bebidas No Alcohólicas,high,
1673,Chipilo La Exquisita Salado 150 gr,Alimentos y Bebidas No Alcohólicas,high,
1674,Chipilo La Exquisita Dulce 150 gr,Alimentos y Bebidas No Alcohólicas,high,
1675,Mani La Exquisita Salado 150 gr,Alimentos y Bebidas No Alcohólicas,high,
1705,Salsa de Tomate Fugini Albahaca 300 gr,Alimentos y Bebidas No Alcohólicas,high,
1713,Alimento Raza Adulto Pollo Carne Cerdo 3 kg,Recreación y Cultura,high,
1714,Agua Tonica Fentimans Orange 200 ml,Alimentos y Bebidas No Alcohólicas,high,
1715,Agua Ginger Ale Fentimans 200 ml,Alimentos y Bebidas No Alcohólicas,high,
1717,Sazonador Badia Completa 9 oz,Alimentos y Bebidas No Alcohólicas,high,
1718,Ajo Badia Polvo 8 oz,Alimentos y Bebidas No Alcohólicas,high,
1719,Sal Badia de Ajo 16 oz,Alimentos y Bebidas No Alcohólicas,high,
1730,Agua Fentimans Rose Limonade 200 ml,Alimentos y Bebidas No Alcohólicas,high,
