"city","fecha","city_index"
"cochabamba",2024-07-29,100
"cochabamba",2024-07-30,100.087470905853
"cochabamba",2024-07-31,100.087470905853
"cochabamba",2024-08-01,100.621727038373
"cochabamba",2024-08-02,100.910326280324
"cochabamba",2024-08-03,100.715967140968
"cochabamba",2024-08-04,100.722881255212
"cochabamba",2024-08-05,100.722881255212
"cochabamba",2024-08-06,100.722373817882
"cochabamba",2024-08-07,100.95379710146
"cochabamba",2024-08-08,100.95379710146
"cochabamba",2024-08-09,102.54127865444
"cochabamba",2024-08-10,102.927579660228
"cochabamba",2024-08-11,103.422102031245
"cochabamba",2024-08-12,103.411739711643
"cochabamba",2024-08-13,103.466710573797
"cochabamba",2024-08-14,103.466710573797
"cochabamba",2024-08-15,103.473563557539
"cochabamba",2024-08-16,103.522655768701
"cochabamba",2024-08-17,103.553011585531
"cochabamba",2024-08-18,103.604374048974
"cochabamba",2024-08-19,103.603237036822
"cochabamba",2024-08-20,103.601265028862
"cochabamba",2024-08-21,103.69881572359
"cochabamba",2024-08-22,103.731721212057
"cochabamba",2024-08-23,103.841124735823
"cochabamba",2024-08-24,104.038953208236
"cochabamba",2024-08-25,104.042229664258
"cochabamba",2024-08-26,104.05311835612
"cochabamba",2024-08-27,104.049303192202
"cochabamba",2024-08-28,104.604294848697
"cochabamba",2024-08-29,104.645238237346
"cochabamba",2024-08-30,105.049947703845
"cochabamba",2024-08-31,105.365367829095
"cochabamba",2024-09-01,106.945551612217
"cochabamba",2024-09-02,106.936433892017
"cochabamba",2024-09-03,106.936433892017
"cochabamba",2024-09-04,107.047238426218
"cochabamba",2024-09-05,107.079947077286
"cochabamba",2024-09-06,107.110508282097
"cochabamba",2024-09-07,107.129923875985
"cochabamba",2024-09-08,107.171885450204
"cochabamba",2024-09-09,107.173470189859
"cochabamba",2024-09-10,107.171537192073
"cochabamba",2024-09-11,107.185009661856
"cochabamba",2024-09-12,107.149091011824
"cochabamba",2024-09-13,107.177237633005
"cochabamba",2024-09-14,107.048430136814
"cochabamba",2024-09-15,107.139932614579
"cochabamba",2024-09-16,107.138493092775
"cochabamba",2024-09-17,107.138493092775
"cochabamba",2024-09-18,107.202471647076
"cochabamba",2024-09-19,107.2475263378
"cochabamba",2024-09-20,107.267241703892
"cochabamba",2024-09-21,107.27550170358
"cochabamba",2024-09-22,107.438268847414
"cochabamba",2024-09-23,107.44614931023
"cochabamba",2024-09-24,107.44614931023
"cochabamba",2024-09-25,107.443410366887
"cochabamba",2024-09-26,107.471969711216
"cochabamba",2024-09-27,107.475056335595
"cochabamba",2024-09-28,107.518320816943
"cochabamba",2024-09-29,107.516321484897
"cochabamba",2024-09-30,107.709678268171
"cochabamba",2024-10-01,107.709678268171
"cochabamba",2024-10-02,108.345055690379
"cochabamba",2024-10-03,108.583877457208
"cochabamba",2024-10-04,108.713001274398
"cochabamba",2024-10-05,108.750991211719
"cochabamba",2024-10-06,108.754640504326
"cochabamba",2024-10-07,108.84915000852
"cochabamba",2024-10-08,108.84423681898
"cochabamba",2024-10-09,109.007488148807
"cochabamba",2024-10-10,109.009512496928
"cochabamba",2024-10-11,109.018324368536
"cochabamba",2024-10-12,108.837935469218
"cochabamba",2024-10-13,108.90772821427
"cochabamba",2024-10-14,108.898994394408
"cochabamba",2024-10-15,109.006743789108
"cochabamba",2024-10-16,109.014504070821
"cochabamba",2024-10-17,109.083201186002
"cochabamba",2024-10-18,109.096092794813
"cochabamba",2024-10-19,109.10364170011
"cochabamba",2024-10-20,109.1235466837
"cochabamba",2024-10-21,109.105625629663
"cochabamba",2024-10-22,109.105625629663
"cochabamba",2024-10-23,109.164624524571
"cochabamba",2024-10-24,109.178467555776
"cochabamba",2024-10-25,109.233903114381
"cochabamba",2024-10-26,109.235028576081
"cochabamba",2024-10-27,109.295945487328
"cochabamba",2024-10-28,109.299948527882
"cochabamba",2024-10-29,109.298829687713
"cochabamba",2024-10-30,109.458519384864
"cochabamba",2024-10-31,109.45833204493
"cochabamba",2024-11-01,109.483154613964
"cochabamba",2024-11-02,109.787087772098
"cochabamba",2024-11-03,110.011873333685
"cochabamba",2024-11-04,110.053419857778
"cochabamba",2024-11-05,110.053419857778
"cochabamba",2024-11-06,110.106230654724
"cochabamba",2024-11-07,110.085116854827
"cochabamba",2024-11-08,110.100332169109
"cochabamba",2024-11-09,109.815024326484
"cochabamba",2024-11-10,109.826482305846
"cochabamba",2024-11-11,109.824951814254
"cochabamba",2024-11-12,109.82278735183
"cochabamba",2024-11-13,109.838863642298
"cochabamba",2024-11-14,109.848569157239
"cochabamba",2024-11-15,109.849020451786
"cochabamba",2024-11-16,109.888389325678
"cochabamba",2024-11-17,109.89177823916
"cochabamba",2024-11-18,109.893452384858
"cochabamba",2024-11-19,109.87576244919
"cochabamba",2024-11-20,109.9287611689
"cochabamba",2024-11-21,110.040761125569
"cochabamba",2024-11-22,110.058582579636
"cochabamba",2024-11-23,109.836686265931
"cochabamba",2024-11-24,109.928463633113
"cochabamba",2024-11-25,109.937897530976
"cochabamba",2024-11-26,109.957673730983
"cochabamba",2024-11-27,109.994668317845
"cochabamba",2024-11-28,110.03392753197
"cochabamba",2024-11-29,110.129929232904
"cochabamba",2024-11-30,110.156955748406
"cochabamba",2024-12-01,109.862809224997
"cochabamba",2024-12-02,109.983943904121
"cochabamba",2024-12-03,109.98607722649
"cochabamba",2024-12-04,110.373980107243
"cochabamba",2024-12-05,110.386399709615
"cochabamba",2024-12-06,110.461018706042
"cochabamba",2024-12-07,110.485399819568
"cochabamba",2024-12-08,110.463419081462
"cochabamba",2024-12-09,110.426596836856
"cochabamba",2024-12-10,110.423922427162
"cochabamba",2024-12-11,110.415209925579
"cochabamba",2024-12-12,110.33194105297
"cochabamba",2024-12-13,110.315664099056
"cochabamba",2024-12-14,110.385971863819
"cochabamba",2024-12-15,110.508869604886
"cochabamba",2024-12-16,110.567524277863
"cochabamba",2024-12-17,110.567524277863
"cochabamba",2024-12-18,110.603952011395
"cochabamba",2024-12-19,110.619415295573
"cochabamba",2024-12-20,110.619415295573
"cochabamba",2024-12-21,110.628759895888
"cochabamba",2024-12-22,110.63347648142
"cochabamba",2024-12-23,110.641884779881
"cochabamba",2024-12-24,110.641884779881
"cochabamba",2024-12-25,110.678788275692
"cochabamba",2024-12-26,110.684988651261
"cochabamba",2024-12-27,110.684988651261
"cochabamba",2024-12-28,110.68833164341
"cochabamba",2024-12-29,110.658028454989
"cochabamba",2024-12-30,110.660265765193
"cochabamba",2024-12-31,110.660265765193
"cochabamba",2025-01-01,110.679115640241
"cochabamba",2025-01-02,111.454202151487
"cochabamba",2025-01-03,111.47209397535
"cochabamba",2025-01-04,111.697896696522
"cochabamba",2025-01-05,111.895907221461
"cochabamba",2025-01-06,111.898044272162
"cochabamba",2025-01-07,112.17472051544
"cochabamba",2025-01-08,112.17472051544
"cochabamba",2025-01-09,112.251002475385
"cochabamba",2025-01-10,112.248712908616
"cochabamba",2025-01-11,112.249319103839
"cochabamba",2025-01-12,112.351159317733
"cochabamba",2025-01-13,112.306555175317
"cochabamba",2025-01-14,112.015440502361
"cochabamba",2025-01-15,112.033839812078
"cochabamba",2025-01-16,112.033370026818
"cochabamba",2025-01-17,112.060817872706
"cochabamba",2025-01-18,112.120868919405
"cochabamba",2025-01-19,112.126698247402
"cochabamba",2025-01-20,112.139195306363
"cochabamba",2025-01-21,112.144975484264
"cochabamba",2025-01-22,112.231987307553
"cochabamba",2025-01-23,112.21836971251
"cochabamba",2025-01-24,112.21836971251
"cochabamba",2025-01-25,112.234757374338
"cochabamba",2025-01-26,112.248222822356
"cochabamba",2025-01-27,112.248154972921
"cochabamba",2025-01-28,112.245820095032
"cochabamba",2025-01-29,112.431850552746
