"fecha","national_index"
2024-07-29,100
2024-07-30,100.11035726083
2024-07-31,100.11035726083
2024-08-01,100.417582500352
2024-08-02,100.75025227058
2024-08-03,100.657635601358
2024-08-04,100.674129949532
2024-08-05,100.674129949532
2024-08-06,100.676925252723
2024-08-07,101.031911990105
2024-08-08,101.02418652752
2024-08-09,101.908555193135
2024-08-10,102.729690175454
2024-08-11,103.083555903708
2024-08-12,103.204247493947
2024-08-13,103.219749816186
2024-08-14,103.219749816186
2024-08-15,103.233055217392
2024-08-16,103.425698640592
2024-08-17,103.439246359655
2024-08-18,103.477413687569
2024-08-19,103.549859593165
2024-08-20,103.548599282684
2024-08-21,103.654292146937
2024-08-22,103.747442154778
2024-08-23,103.809549234355
2024-08-24,103.982982145726
2024-08-25,104.004321728427
2024-08-26,104.003645501679
2024-08-27,104.001263484128
2024-08-28,104.413247708424
2024-08-29,104.474385378076
2024-08-30,104.746117576556
2024-08-31,105.031441678125
2024-09-01,105.946644206486
2024-09-02,106.064222581425
2024-09-03,106.064222581425
2024-09-04,106.188263760139
2024-09-05,106.616343614526
2024-09-06,106.726196155978
2024-09-07,106.787113643282
2024-09-08,106.804684754857
2024-09-09,106.804600073173
2024-09-10,106.80435704369
2024-09-11,106.831310271937
2024-09-12,106.827782844569
2024-09-13,106.860158268461
2024-09-14,106.810598203072
2024-09-15,106.896742751633
2024-09-16,106.93136379588
2024-09-17,106.93136379588
2024-09-18,107.002196756575
2024-09-19,107.041802372413
2024-09-20,107.060369779356
2024-09-21,107.045336772817
2024-09-22,107.067322071408
2024-09-23,107.074686129498
2024-09-24,107.07522773147
2024-09-25,107.078690291084
2024-09-26,107.084747032439
2024-09-27,107.090143916965
2024-09-28,107.148679782878
2024-09-29,107.178752992143
2024-09-30,107.359620736372
2024-10-01,107.359264885978
2024-10-02,107.931336484765
2024-10-03,108.043715316113
2024-10-04,108.140412256244
2024-10-05,108.245097410294
2024-10-06,108.285448649238
2024-10-07,108.337215107972
2024-10-08,108.334106945519
2024-10-09,108.449753087631
2024-10-10,108.464308182754
2024-10-11,108.478413747856
2024-10-12,108.328377261357
2024-10-13,108.40680169666
2024-10-14,108.399268585144
2024-10-15,108.532571876257
2024-10-16,108.535948553443
2024-10-17,108.643276565827
2024-10-18,108.656938512258
2024-10-19,108.67134234241
2024-10-20,108.659109653428
2024-10-21,108.641136210673
2024-10-22,108.641136210673
2024-10-23,108.670926280687
2024-10-24,108.685478560959
2024-10-25,108.724513421125
2024-10-26,108.730549144799
2024-10-27,108.741524273989
2024-10-28,108.74786242241
2024-10-29,108.746610627115
2024-10-30,108.914932868999
2024-10-31,108.916370243323
2024-11-01,109.012483256426
2024-11-02,109.233426280379
